,PigType,DETECTED,dist_boar,dist_pig,borderMI,borderNY,borderQC
76,unknown,1,34040.91707773347,3272.2160264755207,138538.75522702717,139381.19222345622,422840.114845978
77,unknown,1,16633.33848059977,7326.993492855104,170336.12083692697,105067.89603676746,379153.5274718301
78,unknown,1,30230.17371249756,2060.4287101331392,152672.5085196102,124146.95101560756,377272.5085269938
79,unknown,1,25030.529265689227,6901.269623709955,223022.86857902887,63404.59483163542,328789.76813566405
80,unknown,1,7939.953252270196,8166.673419709988,282814.51508018246,64378.948233542505,276940.1799107779
81,unknown,1,6179.106619180004,399.9977226654134,283794.6139549678,77831.67172308832,266865.9548581887
82,unknown,1,7289.447204945293,3213.645215753163,320981.698607652,94951.41357441497,236342.76016137176
83,domesticated,1,11903.356177532287,4807.141529465211,334394.97236663755,112022.40072444557,218829.2233929217
84,unknown,1,27549.25898705564,3308.629744828183,290776.551516111,154057.99573533368,205069.01782063936
85,unknown,1,13859.518115363766,2174.627772747523,304705.22612946725,161071.4523379981,192584.94595232332
86,unknown,1,5698.226155956055,2452.9967618332957,322838.8152864003,174184.35950318674,174798.56704209538
87,unknown,1,35445.07408944576,2229.503499168688,388912.7439140006,150227.10922490558,165106.1872728234
88,unknown,1,20361.054287814433,2929.831053826594,441110.4808872928,78012.13675147928,153002.64080551037
89,unknown,1,66179.1332906433,8348.901244226414,417112.9008880536,163341.90618643895,122571.62923173759
90,unknown,1,71244.39323430507,4227.075911122173,446543.6801324905,152561.81674788706,96785.53905881036
91,unknown,1,66256.9184384051,14738.4072692056,354483.4245535615,256336.9478731146,119568.43306421945
92,unknown,1,60325.71665037085,7956.966475061212,361808.8997066553,259077.2160942485,112230.18419543948
93,unknown,1,27110.921039239456,1479.7885835772151,285325.4777112905,146169.5247379419,213278.94158476297
94,unknown,1,22300.43206288892,831.771816017488,153508.44136057116,140078.112764467,345622.9951642686
95,unknown,1,8120.054614784772,3825.5813031765965,653112.8036393495,43363.40212535799,19423.080882474314
96,unknown,1,52230.675149313356,27455.962224561194,477645.72970214614,212821.03925765672,50167.032696685535
97,unknown,1,75424.74223993854,7553.315274498655,416387.10350336594,172156.02881690153,119225.96269871846
98,unknown,1,67124.67278305448,11988.299045207183,413608.0459326356,166155.33022294557,125075.46119180664
99,unknown,1,62361.20502821377,2103.926097519153,400188.2913722896,192252.35944493845,130415.57674312765
100,unknown,1,21747.68323553407,138.33372111181413,249060.94356366826,28029.77701810315,366844.3811127359
101,domesticated,1,11533.379329398464,1656.2002860856562,219131.6986557703,80231.481513481,313714.5337421452
102,domesticated,1,32047.92338488402,6163.044097962592,361582.9583777817,152048.1913986401,180368.14914150586
103,unknown,1,46626.28705828712,3989.3560939396616,103399.47669181005,183103.48958228418,457768.7694724109
104,domesticated - pot bellied,1,13402.056758142244,3471.9420069115913,22100.81025111873,343925.4959129369,592549.8152427672
105,unknown,1,5330.658658290547,3972.635885260791,194204.9596610041,85249.97353110554,349947.5938153152
106,unknown,1,38145.53148534553,3157.537119364696,323258.5086346852,207745.99174489794,156314.92372000116
107,unknown,1,9320.419708205125,5041.766558385598,211034.05122267685,81428.17964123217,323281.60325827985
108,unknown,1,33127.78946352417,3341.6812364938482,289585.29624941695,139064.7933193686,215433.3009444471
109,unknown,1,22819.25979497877,3020.5623738119766,297725.8971465487,94135.35528820936,248179.90532523982
110,unknown,1,2687.298914074356,9167.01484639056,336900.5137252976,154889.45241413312,186295.6778875718
111,unknown,1,12894.07874778046,3232.7086277781045,191370.94264692755,116479.35312112527,314123.0642026118
